"ResponseId","Age","gamble","value","accept","valence","magnitude","deg_skew","dir_skew"
"R_1NbuFjoIZubxQP6",68,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_Ace53X8uRgMZ585",42,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_PBQBsz1haKy9ctj",40,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_27BeckNTzlLUD9F",51,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_3KVAdVQJUqdr1oi",64,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_1HjY7Dijl6vyTdQ",34,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_12avnGZN26cRu7g",38,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_2PsPR2pFUJtoWkr",33,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_AizNfLvIK0UVns5",65,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_6sWIUHOt2FvGUJr",24,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_3oA3uqZJcO38k9t",77,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_z2VpKwEbRyj3XMZ",65,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_3aU4bNDsQZl0ZUJ",56,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_3fGKLuTi92R7SSq",30,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_1MQwv5nw1T5oLT7",72,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2ydpwe2P6CjaTKD",72,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2RR1pPN1BRsVodt",69,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2sThjBGaeyE7Uag",67,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2ATDSyepAfCDTKR",70,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_21ixD1fJkJMRU9y",79,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2vkyZFNmtYqVUvZ",69,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_Oa5qpPEAcq9JLMt",77,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_3me2lN8H0i1OztD",54,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_3ekIJlVwdb7y6cV",72,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_3rUsJT3BGZ2Tbr3",64,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_24nN5FwTFU3eBEw",71,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_cwmDubZfJniUl3j",67,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_28RKoY9ZvTsbVQc",52,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_3FOGDz454g5up3w",51,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2uKZXfz5t7CWpx2",60,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_3s04CMNwSk03WVc",65,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_1DBHOdgGsrvwT3p",59,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_pGyWEJrWcjfoPAd",64,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_1hZ20yJc4PQJNGp",76,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_1OPp63bfuZXaX8n",69,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_5yFtpglFp953ZPX",73,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2TC2CEODBg4GGQt",63,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_306KZWLLJpFZv27",78,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_5tnIBabCyYZw3qV",66,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_2bVSt6FnsovTUh5",78,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_6MC5TcGOOaP8Nih",59,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_1OSL7xtZJbClB2f",74,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_1BVLA8lCg0pZ4NJ",76,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_10IZ1pOGDQwwPix",72,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_10Brxsj8xpTHiqN",67,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2Cyx7ITEhzRLWqG",75,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_2fH9vh9P6eIUiht",30,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_1erhSGQKAAxskgl",40,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_pxz68kZwundv8jL",76,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_2Qh5Vt4VIM0KgtY",42,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_OOJ2WXsj2Y0e01j",33,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2tcm8pRvkLHHy7S",25,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_2QM75sFZjQDHj0r",69,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_21b24tQLB5UYIxY",39,"X0_95_5","2",1,"neutral",0,"Strong","Negative"
"R_3I0u4apwaAHsv5V",39,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_2qdwxHEqYsTFQgp",28,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
"R_9AkneiXaSKGQhCF",41,"X0_95_5","1",0,"neutral",0,"Strong","Negative"
