"","ID","skew_count"
"1",1,5
"2",2,9
"3",3,5
"4",4,10
"5",5,3
"6",6,4
"7",7,10
"8",8,10
"9",9,10
"10",10,10
"11",11,10
"12",12,10
"13",13,9
"14",14,8
"15",15,10
"16",16,2
"17",17,9
"18",18,4
"19",19,4
"20",20,7
"21",21,9
"22",22,7
"23",23,7
"24",24,7
"25",25,10
"26",26,6
"27",27,3
"28",28,0
"29",29,7
"30",30,6
"31",31,4
"32",32,3
"33",33,1
"34",34,4
"35",35,10
"36",36,6
"37",37,0
"38",38,0
"39",39,7
"40",40,10
"41",41,8
"42",42,9
"43",43,1
"44",44,1
"45",45,10
"46",46,10
"47",47,10
"48",48,4
"49",49,10
"50",50,4
"51",51,0
"52",52,5
"53",53,6
"54",54,8
"55",55,10
"56",56,1
"57",57,6
"58",58,6
"59",59,2
"60",60,10
"61",61,1
"62",62,9
"63",63,10
"64",64,4
"65",65,10
"66",66,5
"67",67,10
"68",68,0
"69",69,4
"70",70,10
"71",71,3
"72",72,6
"73",73,3
"74",74,9
"75",75,6
"76",76,9
"77",77,10
"78",78,0
"79",79,10
"80",80,10
"81",81,10
"82",82,5
"83",83,7
"84",84,6
"85",85,10
"86",86,10
"87",87,9
"88",88,1
"89",89,9
"90",90,10
"91",91,7
"92",92,0
"93",93,9
"94",94,7
"95",95,9
"96",96,8
"97",97,1
"98",98,2
"99",99,1
"100",100,4
"101",101,10
"102",102,8
"103",103,5
"104",104,9
"105",105,8
"106",106,10
"107",107,7
"108",108,2
"109",109,0
"110",110,7
"111",111,10
"112",112,0
"113",113,8
"114",114,10
"115",115,10
"116",116,10
"117",117,7
"118",118,7
"119",119,10
"120",120,3
"121",121,9
"122",122,10
"123",123,2
"124",124,9
"125",125,10
"126",126,2
"127",127,7
"128",128,10
"129",129,6
"130",130,8
"131",131,0
"132",132,10
"133",133,10
"134",134,10
"135",135,3
"136",136,7
"137",137,9
"138",138,6
"139",139,9
"140",140,9
"141",141,0
"142",142,10
"143",143,10
"144",144,10
"145",145,4
"146",146,3
"147",147,8
"148",148,3
"149",149,10
"150",150,2
"151",151,6
"152",152,2
"153",153,2
"154",154,7
"155",155,10
"156",156,9
"157",157,10
"158",158,6
"159",159,10
"160",160,10
"161",161,7
"162",162,0
"163",163,10
"164",164,8
"165",165,0
"166",166,9
"167",167,0
"168",168,1
"169",169,2
"170",170,3
"171",171,8
"172",172,10
"173",173,4
"174",174,3
"175",175,10
"176",176,10
"177",177,5
"178",178,4
"179",179,5
"180",180,10
"181",181,8
"182",182,9
"183",183,6
"184",184,5
"185",185,2
"186",186,5
"187",187,0
"188",188,9
"189",189,8
"190",190,1
"191",191,4
"192",192,1
"193",193,8
"194",194,0
"195",195,0
"196",196,10
"197",197,8
"198",198,10
"199",199,4
"200",200,0
"201",201,0
"202",202,0
"203",203,9
"204",204,9
"205",205,9
"206",206,10
"207",207,9
"208",208,1
"209",209,10
