"ID","Age","valence","magnitude","skew_count","gut","math","win.money","lose.money","win.likely","lose.likely","hap","lap","la","lan","han","ha","graph_lit","Numeracy","lost_invest","why_lost","detect_fraud","likely_fraud","high_pressure","avoid_fraud"
"1",58,"gain","0.5",5,5,1,1,4,4,4,3.5,4,1.33333333333333,1.33333333333333,1,2,26,12,0,NA,4,1,7,2
"10",43,"neutral","0",9,5,2,5,2,5,2,2.5,4,2.33333333333333,2,2,2,40,12,1,4,3,5,5,2
"100",62,"loss","5",3,2,4,4,4,5,5,1.5,4,3.33333333333333,2.66666666666667,1.66666666666667,1.33333333333333,29,12,1,3,5,2,7,2
"101",64,"neutral","0",9,4,2,4,4,4,3,2.75,3.33333333333333,4,3.33333333333333,3.33333333333333,3,19,5,0,NA,4,1,4,2
"102",70,"neutral","0",8,4,2,4,2,4,4,2.25,4,2.66666666666667,2.66666666666667,1.66666666666667,1.66666666666667,33,11,1,1,5,3,6,1
"103",66,"loss","5",4,3,3,4,4,3,3,2,3,3,2.33333333333333,2,1.66666666666667,24,11,0,NA,3,2,6,2
"104",61,"loss","0.5",8,4,2,4,3,4,4,3.25,3.66666666666667,3.33333333333333,1.33333333333333,1.66666666666667,3.33333333333333,28,6,1,3,7,1,1,1
"105",63,"neutral","0",8,4,4,4,4,3,4,2.25,3.66666666666667,2.66666666666667,2.33333333333333,2,2,46,9,1,1,4,2,7,2
"106",54,"gain","5",9,4,5,5,5,4,4,3.25,4,3.33333333333333,2,1.66666666666667,2.33333333333333,43,9,1,3,4,2,7,2
"107",63,"neutral","0",7,4,4,4,4,2,3,2,2,3.66666666666667,2.33333333333333,3.33333333333333,2.66666666666667,35,12,0,NA,5,2,7,1
"108",56,"loss","5",1,1,5,5,5,5,5,3.25,2,1.66666666666667,3,2,2,31,7,0,NA,4,2,7,1
"109",54,"loss","5",0,2,4,1,5,5,5,2,2,3.33333333333333,4,3.33333333333333,2,40,11,1,1,2,3,5,2
"11",44,"gain","5",9,3,4,5,1,5,1,3,3,1.66666666666667,2.33333333333333,1.33333333333333,2.33333333333333,21,11,0,NA,4,4,7,2
"110",84,"loss","5",6,5,5,4,5,4,4,3.5,4,2.33333333333333,2,1.33333333333333,2.66666666666667,32,8,1,1,5,6,6,2
"111",59,"loss","0.5",9,3,5,4,3,3,3,3.5,3.66666666666667,2.66666666666667,2,1.66666666666667,2.66666666666667,35,10,1,2,4,2,4,1
"112",34,"gain","5",0,3,3,4,5,4,4,1.75,3,2.66666666666667,2,1.33333333333333,1.33333333333333,34,10,0,NA,4,3,6,2
"113",64,"neutral","0",8,2,4,4,4,2,2,3.75,4,3.33333333333333,1.66666666666667,1,2.33333333333333,21,11,1,2,4,4,7,2
"114",34,"gain","0.5",9,4,5,5,4,3,3,4,4,2.66666666666667,2.66666666666667,2.66666666666667,3,44,10,0,NA,5,2,6,1
"115",75,"gain","5",9,4,4,5,2,4,2,4.5,4.66666666666667,2.33333333333333,1.66666666666667,2,3.33333333333333,19,7,1,1,3,1,7,2
"116",31,"loss","0.5",9,5,3,5,1,3,3,2.75,3.33333333333333,1,2.66666666666667,1,1.33333333333333,34,11,0,NA,7,1,7,2
"117",34,"gain","5",6,4,3,4,5,3,4,3,4,3.66666666666667,3,3.66666666666667,3.66666666666667,36,3,0,NA,4,4,5,2
"118",57,"gain","0.5",6,5,5,5,5,5,5,1,3.66666666666667,1,1,1,1,10,3,0,NA,1,1,7,2
"119",81,"gain","5",9,2,4,4,2,4,2,1.75,2.33333333333333,2.33333333333333,2.33333333333333,1,1,34,6,0,NA,7,1,7,2
"12",68,"gain","0.5",9,4,2,4,4,3,3,2,3,2.33333333333333,2.33333333333333,1,1.66666666666667,17,10,1,3,4,3,7,2
"120",78,"neutral","0",3,3,3,3,3,3,3,3.25,4,4,2.33333333333333,1.66666666666667,3.33333333333333,10,8,1,1,4,4,4,1
"121",50,"loss","0.5",9,4,5,4,2,4,3,2.75,3.33333333333333,3,3.33333333333333,1.33333333333333,1.33333333333333,20,6,0,NA,1,4,4,1
